Unnamed: 0,author_id,rating,is_recommended,helpfulness,total_feedback_count,total_neg_feedback_count,total_pos_feedback_count,submission_time,review_text,review_title,skin_tone,eye_color,skin_type,hair_color,product_id,product_name,brand_name,price_usd
2380,7269013242,5,1.0,1.0,1,0,1,2021-09-04,"This is BOMB!!! I love using this lip sleeping mask both at night and just as a regular lip balm. It smells good and feels good! I normally don’t like the feeling of most lip balms on my lips, but this one is sooo comfortable. It will last you a while too! Totally recommend!",My lips are in LOVE! <3,fair,brown,combination,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2381,21176812433,4,1.0,1.0,1,0,1,2021-09-04,"Had to try this after reading all the hype on it. I have always used different lip balms at bedtime. After smelling several of the lip mask options, I decided on “gummy bear” scent/flavor. So far I really like this- thick but not sticky and very moisturizing. It lasts throughout the night, which isn’t the case for most lip balms. Definitely a splurge price, but the pot should last awhile. I would buy again.",Happy I finally tried it,,,,,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2382,12761964495,5,1.0,,0,0,0,2021-09-04,Makes your lips so nice! Your lips feel a little wrinkly after application but if you leave it overnight your lips feel smooth and plump in the morning.,,fair,blue,combination,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2383,20113814614,4,1.0,1.0,3,0,3,2021-09-04,This stuff definitely makes your lips feel soft and silky! its really thick and glossy too. I put it on at night before I go to sleep and when I wake up its still on my lips and hasn’t faded much! I only took off one star because its nice to have if you wanna splurge a little bit but I think vaseline could honestly do the same thing for way cheaper :),Nice if you wanna feel bougie but not necessary,light,brown,combination,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2384,1470700542,1,0.0,0.2142859995365142,14,11,3,2021-09-04,"i wanted to order the peach but after reading reviews I decided on the Berry. The reviews stated Peach had no scent and Berry smelled delightful. However, I found no scent to the Berry, or I received a bad batch. I will not order again unless they reach out and make this right. I will update if they do.",No Scent,lightMedium,hazel,normal,blonde,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2385,9776122708,5,1.0,1.0,1,0,1,2021-09-03,"Really Worth the Price, it does wonders for my dry chapped lips",great product !!,lightMedium,blue,combination,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2386,22153430142,5,1.0,1.0,2,0,2,2021-09-03,"Holy cow I was not expecting the this to be as good as I found it to be. It looks like a tough solid when you open the jar, but it is a very smooth and soft consistency. Not that my lips are overly dry, so I can’t speak to that, but they felt great when I woke up the next morning. This stuff does have have staying power - it is kind of waxy when you are taking it off the next morning. other than that, I highly recommend - especially if you are going to use a mattifying lip stick/ lip gloss.","Surprisingly, I really liked this!",light,,dry,,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2387,6927732665,5,1.0,1.0,1,0,1,2021-09-03,"I used to love Bite beauty’s agave lip mask, but after their reformulation it didn’t work for me. So I tried this out and absolutely love it. It’s pleasantly thick and moisturizing and smells wonderful. I’ve tried the original flavor and vanilla. Both are great but I prefer original just a bit more. One little tub lasts me about six months. It’s so worth it!",,fairLight,green,dry,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2388,1316181222,5,1.0,,0,0,0,2021-09-03,"Use this all the time and my 5 y/o granddaughter loved it so I bought her, her own.  She can’t put it down.  We both love it!",Love…..my holy grail of lip masks!,lightMedium,green,combination,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2389,30737469615,1,0.0,0.25,8,6,2,2021-09-03,Made my lips very dry and crusty after one use. I do not recommend.,,light,brown,oily,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2390,11873322037,5,1.0,0.7142860293388367,7,2,5,2021-09-02,"I bought this in Lemon Sorbet around Thanksgiving 2020 and used it pretty regularly in the winter, but felt I didn’t need this much hydration in the summer and kind of forgot about it. I just started Accutane and have the very common symptom of horribly dry, cracked, painful lips. None of my usual lip balms or even straight-up Vaseline was helping much with my discomfort. I remembered I had this in my collection and pulled it out last night. slathered it all over before going to sleep and woke up this morning to much improved comfort with respect to my lips, which lasted most of the day (I was using a lighter weight SPF lip balm during the day). For this reason alone, I think it’s worth it!!!",Godsend for Accutane Patients!,fairLight,blue,combination,blonde,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2391,23181696641,5,1.0,1.0,2,0,2,2021-09-02,I received a sample of this for my birthday. The smell is fantastic. Best thing to go to sleep smelling. It helped to keep my lips moisturized during a serious sinus infection that had me mouth breathing for a week. It was a life saver. A little bit goes a long way and the sample has lasted almost 3 months. I have some sitting in my Sephora cart now.,Smells amazing.,lightMedium,hazel,oily,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2392,7416860989,5,1.0,,0,0,0,2021-09-02,"I keep coming back to it. I have repurchased a few times over the past year and a half. I have tried other things, but I feel like my lips are addicted to the deep moisture I get with this and no other products. I don’t ever see myself halting purchasing this. I apply it a million times throughout the day and it will last me months.",I keep coming back,light,blue,combination,blonde,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2393,7676712950,5,1.0,1.0,3,0,3,2021-09-01,"i literally love this product, the first time i used it was 3 years ago when i went on acutane and could find nothing to help my lips stop constantly peeling, i was probably using a tube and a half of aquafors “lip gloss” everyday day, until my mom brought this home, i put a thin layer on because i have very sensitive skin, the next day i woke up AND HAD NO DRY SKIN ON MY LIPS for the first time in months! this helped me get my confidence back, that was when i was 16, and i am now 19 and still love this product to the moon and back.",if you take acutane you NEES THIS,light,blue,dry,blonde,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2394,6258584492,2,0.0,0.25,4,3,1,2021-09-01,"I loved the smells, but it dries out my lips unfortunately. My friend had a similar experience.",,deep,brown,combination,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2395,11156992928,5,1.0,1.0,1,0,1,2021-09-01,Absolutely love how buttery the texture is! It’s definitely a new fave!,,light,brown,combination,black,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2396,6438399651,1,0.0,0.2857140004634857,7,5,2,2021-08-31,This feels sticky on my lips and the ’berry’ flavour smells like bubblegum. Yuck.,not for me,light,blue,normal,blonde,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2397,30656184630,5,1.0,0.9166669845581056,12,1,11,2021-08-31,"Smells heavenly, just what I hoped it’d smell like. I agree with other reviews that say it smells like grape candy instead of gummy bears, but I was expecting that so I’m happy as can be. Also yes it does have more of a tint than the other flavors but it doesn’t show on the lips. The tint is nearly my exact lip color, a very cool medium pink, so it’s not a weird purple like it shows up in some photos. I use it both day and night and I absolutely love it, also the size is huge. Amazing product.",Smells heavenly,fairLight,brown,combination,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2398,9981211590,5,1.0,0.6000000238418579,5,2,3,2021-08-30,"Perfect recovery for dry lips, softness from the first use. This lip mask quenches and softens lips, especially after wearing drying lipsticks. Have tried berry and sweet candy, both are excellent - feel great and smell sweet!",,light,green,combination,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2399,8153815349,5,1.0,0.5,4,2,2,2021-08-29,"I LOVE this lip mask! I use it every night, I love the way it feels and I think you get the best results when used every night, my lips are always dry and this keeps them feeling smooth and hydrated. Sometimes I use it during the day as a lipgloss. The smell is also nostalgic to me for some reason. I also got it as a sample size and it lasted a little over 3 months.",,light,brown,combination,blonde,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2400,25204902393,1,0.0,0.25,12,9,3,2021-08-29,"I don’t notice any improvement, It honestly didn’t even feel like it was nourishing or moisturizing.  I wouldn’t recommend spending money on it where I literally didn’t notice anything. But I also do not suffer from dry lips, But my Lips didn’t change a bit from not using this so it’s better off to just save your money and just buy a cheap natural stick.",,lightMedium,brown,combination,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2401,22031248090,4,1.0,0.7142860293388367,7,2,5,2021-08-29,"This has honestly made a huge difference for my lips. It stays on through the night, and over time with using it, I notice my lips are much better throughout the day. It’s no miracle cure, but it’s a really good product that also smells nice. The price point isn’t bad at all, given how long it will last. The only reason I’ve given it four stars instead of five is because of the applicator tool. Cute idea, I guess, but sort of an unnecessary extra step and thing to clean and store. I tossed it after a couple of weeks, which is just waste. Just wash your hands and use your finger.",,fair,blue,dry,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2402,7046954669,1,0.0,0.3000000119209289,10,7,3,2021-08-28,"Smells amazing, did nothing. It’s very messy. Beautiful packaging though.",Not worth it.,fair,hazel,combination,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2403,1508374561,3,0.0,0.4444440007209778,9,5,4,2021-08-27,"This product lasts FOREVER. I honestly got tired of using it after the first 6 months of nightly use. It isn’t really all that moisturizing either because it is more occlusive than hydrating. If you use this, you may need to layer it over something else.",,fair,brown,combination,black,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2404,8336055295,5,1.0,1.0,3,0,3,2021-08-27,Actually the best lip product I’ve ever used. It’s so moisturizing and they smell so good. It also lasts forever! I’ve had it for over a year and still have half a tub left.,BEST LIP MOISTURIZER EVER,lightMedium,brown,combination,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2405,9161401922,5,1.0,0.6666669845581055,3,1,2,2021-08-27,"I LOVE this sleeping mask. I have the original pink one, gummy bear and sweet candy. But the sweet candy is by far my favorite scent! I smells exactly like fruit roll ups 10/10 would recommend",love,mediumTan,hazel,oily,blonde,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
